image_url,anchor_category,anchor_axis_id,primary_morph,genetic_trait,base_color,photo_credit,gecko_name,source,year,award
https://static.wixstatic.com/media/ad498e_95c333a3bf1e489894b64c4f90caa17c~mv2.jpg,primary_morph,harlequin,harlequin,,,Photo: Gold Standard Gecko Club · Tara Leigh's Cresties,Falcon,ggsc_2025_flora_fauna,2025,Best Harlequin
https://static.wixstatic.com/media/ad498e_2eb7fda61ef34f7c8d703b6f5ea14ef1~mv2.jpg,primary_morph,harlequin,harlequin,,,Photo: Gold Standard Gecko Club · Tara Leigh's Cresties,High Frive,ggsc_2024_flora_fauna,2024,Best Harlequin
https://static.wixstatic.com/media/ad498e_e3444abf45d443f487d064f266ec5a17~mv2.jpg,primary_morph,pinstripe,pinstripe,,,Photo: Gold Standard Gecko Club · Fireside Geckos,Cash,ggsc_2025_flora_fauna,2025,Best Pinstripe
https://static.wixstatic.com/media/ad498e_ccf58b75b6154eba993c0459608b60ac~mv2.jpg,primary_morph,pinstripe,pinstripe,,,Photo: Gold Standard Gecko Club · Celestial Exotics,Escabana,ggsc_2024_flora_fauna,2024,Best Pinstripe
https://static.wixstatic.com/media/ad498e_cd010c0bf42d40a89afdc4da9d66424d~mv2.jpg,primary_morph,dalmatian,dalmatian,,,Photo: Gold Standard Gecko Club · Tara Leigh's Cresties,Takamachi,ggsc_2025_flora_fauna,2025,Best Dalmatian
https://static.wixstatic.com/media/ad498e_3f2303c721294b609657e4894ecca01f~mv2.jpg,primary_morph,dalmatian,dalmatian,,,Photo: Gold Standard Gecko Club · Giuliana's Geckos,Chip,ggsc_2024_flora_fauna,2024,Best Dalmatian
https://static.wixstatic.com/media/ad498e_55e7efb344e74f41992554d0c04debbe~mv2.jpg,primary_morph,tricolor,tricolor,,,Photo: Gold Standard Gecko Club · HKD Geckos,Smokeshow,ggsc_2024_flora_fauna,2024,Best Tricolor
https://static.wixstatic.com/media/ad498e_2b6bd3d8c8c94de5b1de60b619630bcd~mv2.jpg,primary_morph,phantom_pinstripe,phantom_pinstripe,,,Photo: Gold Standard Gecko Club · Crestie Worx,Winner Winner Chicken Dinner,ggsc_2025_flora_fauna,2025,Best Phantom
https://static.wixstatic.com/media/ad498e_afd3b056eac440f3853af52218f48b9e~mv2.jpg,primary_morph,phantom_pinstripe,phantom_pinstripe,,,Photo: Gold Standard Gecko Club · Bill and Co Exotics,Amun Ra Hood,ggsc_2024_flora_fauna,2024,Best Phantom
https://static.wixstatic.com/media/ad498e_08ff50e4e2ed47dcba3f41644dfb7776~mv2.jpg,genetic_trait,lily_white,,lily_white,,Photo: Gold Standard Gecko Club · Whoo's Geckos,Fiona,ggsc_2025_flora_fauna,2025,Best Lilly White
https://static.wixstatic.com/media/ad498e_69c7ab1cda194d2e980c1f5a8d54e6cd~mv2.jpg,genetic_trait,lily_white,,lily_white,,Photo: Gold Standard Gecko Club · Gecko Harmony,Epic,ggsc_2024_flora_fauna,2024,Best Lilly White
https://static.wixstatic.com/media/ad498e_61bfdd4c4676405c96161624d06d38c6~mv2.jpg,genetic_trait,axanthic_vca,,axanthic_vca,,Photo: Gold Standard Gecko Club · Retro Gecko,Lucretia,ggsc_2025_flora_fauna,2025,Best Axanthic
https://static.wixstatic.com/media/ad498e_a0a705c6ff5f4adab4c744d5724f7ce4~mv2.jpg,genetic_trait,cappuccino,,cappuccino,,Photo: Gold Standard Gecko Club · Ruby Reptiles,Tiger Queen,ggsc_2025_flora_fauna,2025,Best Cappuccino
https://static.wixstatic.com/media/ad498e_b4561878e02e438ebf3d8b8d556a79a3~mv2.jpg,genetic_trait,cappuccino,,cappuccino,,Photo: Gold Standard Gecko Club · Celestial Exotics,Cumulonimbus,ggsc_2024_flora_fauna,2024,Best Cappuccino
https://static.wixstatic.com/media/ad498e_0e23ac4f339549ca858ef06a26013051~mv2.jpg,base_color,bright_yellow,,,bright_yellow,Photo: Gold Standard Gecko Club · Dixie Reptiles,Flabbergast,ggsc_2025_flora_fauna,2025,Best Yellow Base
https://static.wixstatic.com/media/ad498e_1ef3573d59fe4a15a9862e89e02a2cb4~mv2.jpg,base_color,bright_yellow,,,bright_yellow,Photo: Gold Standard Gecko Club · Tara Leigh's Cresties,Butterface,ggsc_2024_flora_fauna,2024,Best Yellow Base
https://static.wixstatic.com/media/ad498e_2b1e68e97df64f41978654dfc5d1f10c~mv2.jpg,base_color,red,,,red,Photo: Gold Standard Gecko Club · Ruby Reptiles,Polaris,ggsc_2025_flora_fauna,2025,Best Red Base
https://static.wixstatic.com/media/ad498e_8c5a3a3524bc4f738069c5b22cb73fb4~mv2.jpg,base_color,red,,,red,Photo: Gold Standard Gecko Club · Fireside Geckos,Supernova,ggsc_2024_flora_fauna,2024,Best Red Base
